Forecast_Date,538's Projection of Trump's EV,Economist's Projection of Trump's EV,Average_Projected_EV
2020-08-02,213.0605,192.0,202.53025
2020-08-01,212.7638,195.0,203.8819
2020-07-31,213.5757,195.0,204.28785
2020-07-30,208.4238,195.0,201.7119
2020-07-29,209.04,196.0,202.51999999999998
2020-07-28,207.1326,195.0,201.0663
2020-07-27,208.6976,197.0,202.84879999999998
2020-07-26,208.3017,195.0,201.65085
2020-07-25,209.0473,195.0,202.02365
2020-07-24,209.7756,192.0,200.8878
2020-07-23,207.8097,191.0,199.40485
2020-07-22,206.5702,194.0,200.2851
2020-07-21,208.3234,191.0,199.6617
2020-07-20,205.582,191.0,198.291
2020-07-19,206.8156,187.0,196.9078
2020-07-18,207.1693,186.0,196.58465
2020-07-17,206.6574,186.0,196.3287
2020-07-16,205.8413,186.0,195.92065
2020-07-15,202.8228,186.0,194.41140000000001
2020-07-14,205.0833,188.0,196.54165
2020-07-13,204.7945,196.0,200.39724999999999
2020-07-12,206.4143,194.0,200.20715
2020-07-11,208.5454,194.0,201.2727
2020-07-10,207.4411,195.0,201.22055
2020-07-09,208.0501,199.0,203.52505
2020-07-08,206.8318,199.0,202.9159
2020-07-07,206.8485,197.0,201.92425
2020-07-06,211.0341,197.0,204.01704999999998
2020-07-05,202.7701,197.0,199.88505
2020-07-04,203.1415,197.0,200.07075
2020-07-03,201.9703,195.5,198.73515
2020-07-02,202.9859,195.0,198.99295
2020-07-01,202.0124,191.0,196.5062
2020-06-30,202.2096,195.0,198.6048
2020-06-29,196.828,195.0,195.914
2020-06-28,196.2056,197.0,196.6028
2020-06-27,196.2634,195.0,195.6317
2020-06-26,195.4595,195.0,195.22975
2020-06-25,198.2772,195.0,196.6386
2020-06-24,196.5073,197.0,196.75365
2020-06-23,197.761,195.0,196.38049999999998
2020-06-22,198.0367,195.0,196.51835
2020-06-21,199.1915,191.0,195.09575
2020-06-20,199.5023,190.0,194.75115
2020-06-19,200.5645,192.0,196.28225
2020-06-18,201.7995,192.0,196.89974999999998
2020-06-17,202.0645,189.0,195.53225
2020-06-16,203.4893,191.0,197.24464999999998
2020-06-15,205.0138,193.0,199.0069
2020-06-14,201.995,195.0,198.4975
2020-06-13,203.3475,196.0,199.67374999999998
2020-06-12,203.924,195.0,199.462
2020-06-11,204.4158,195.0,199.7079
2020-06-10,211.3559,198.0,204.67795
2020-06-09,213.6465,199.0,206.32325
2020-06-08,216.1307,203.0,209.56535
2020-06-07,216.488,204.0,210.244
2020-06-06,217.2131,209.0,213.10655
2020-06-05,218.2592,210.0,214.12959999999998
2020-06-04,213.6946,210.0,211.84730000000002
2020-06-03,214.5781,208.0,211.28905
2020-06-02,214.024,207.0,210.512
2020-06-01,215.0013,206.0,210.50065
