Forecast_Date,Biden's EV Forecast (538),Biden's EV Forecast (Economist),Average_Projected_EV,Biden's Chance of Winning (538),Biden's Chance of Winning (Economist),Average_Chance_of_Winning (%)
2020-07-08,331.1682,339.0,335.08410000000003,0.727375,0.8290000000000001,77.81875000000001
2020-07-07,331.1515,341.0,336.07574999999997,0.728375,0.831,77.96875
2020-07-06,326.9659,341.0,333.98294999999996,0.7158,0.836,77.59
2020-07-05,335.2299,341.0,338.11495,0.759375,0.8370000000000001,79.81875000000001
2020-07-04,334.8585,341.0,337.92925,0.75685,0.8340000000000001,79.5425
2020-07-03,336.0297,342.5,339.26485,0.75895,0.841,79.9975
2020-07-02,335.0142,343.0,339.00710000000004,0.7563,0.846,80.11500000000001
2020-07-01,335.9876,347.0,341.49379999999996,0.761525,0.857,80.92625
2020-06-30,335.7904,343.0,339.3952,0.761375,0.846,80.36875
2020-06-29,341.17199999999997,343.0,342.086,0.78785,0.8440000000000001,81.5925
2020-06-28,341.7944,341.0,341.3972,0.785625,0.841,81.33125
2020-06-27,341.7366,343.0,342.3683,0.788425,0.851,81.97125000000001
2020-06-26,342.5405,343.0,342.77025000000003,0.79055,0.847,81.8775
2020-06-25,339.7228,343.0,341.3614,0.7795,0.85,81.475
2020-06-24,341.4927,341.0,341.24635,0.786725,0.835,81.08625
2020-06-23,340.23900000000003,343.0,341.6195,0.780075,0.838,80.90375
2020-06-22,339.9633,343.0,341.48165,0.7816,0.84,81.08
2020-06-21,338.8086,347.0,342.90430000000003,0.777475,0.8590000000000001,81.82375
2020-06-20,338.4977,348.0,343.24885,0.77515,0.855,81.5075
2020-06-19,337.4355,346.0,341.71775,0.771925,0.848,80.99624999999999
2020-06-18,336.2005,346.0,341.10024999999996,0.75945,0.8490000000000001,80.4225
2020-06-17,335.9355,349.0,342.46775,0.761575,0.858,80.97875
2020-06-16,334.5107,347.0,340.75535,0.75675,0.8540000000000001,80.53750000000001
2020-06-15,332.9862,345.0,338.9931,0.749025,0.8440000000000001,79.65125
2020-06-14,336.005,343.0,339.5025,0.76255,0.835,79.8775
2020-06-13,334.6525,342.0,338.32624999999996,0.75935,0.83,79.4675
2020-06-12,334.07599999999996,343.0,338.538,0.7543,0.838,79.615
2020-06-11,333.5842,343.0,338.2921,0.75125,0.8390000000000001,79.5125
2020-06-10,326.6442,340.0,333.3221,0.711825,0.8220000000000001,76.69125000000001
2020-06-09,324.3535,339.0,331.67674999999997,0.7072,0.816,76.16000000000001
2020-06-08,321.8693,335.0,328.43465000000003,0.692525,0.797,74.47625
2020-06-07,321.512,334.0,327.756,0.6935,0.789,74.125
2020-06-06,320.7869,329.0,324.89345000000003,0.69085,0.77,73.0425
2020-06-05,319.7408,328.0,323.8704,0.687725,0.7709999999999999,72.93624999999999
2020-06-04,324.3054,328.0,326.1527,0.70755,0.769,73.8275
2020-06-03,323.4219,330.0,326.71095,0.703475,0.773,73.82375
2020-06-02,323.976,331.0,327.488,0.70225,0.7759999999999999,73.91250000000001
2020-06-01,322.9987,332.0,327.49935,0.700575,0.777,73.87875
